Sl No.,BBMP Code,Job Number,Work Order Number,Work Order Date,Total Amount in Rs,Deduction in Rs,Net Payment in Rs ,Work Order Details,Contractor
3599,303,303-14-000007,WO-000003,25/01/2017,22697200,3363791,19333409,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3600,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3601,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3602,303,303-14-000007,WO-000003,25/01/2017,27780800,3716791,24064009,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3603,303,303-14-000007,WO-000003,25/01/2017,684020,68402,615618,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3604,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3605,303,303-14-000007,WO-000003,25/01/2017,53843200,6919414,46923786,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3606,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3607,303,303-14-000007,WO-000003,25/01/2017,655500,65550,589950,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3608,303,303-14-000007,WO-000003,25/01/2017,171005,17100,153905,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3609,303,303-14-000007,WO-000003,25/01/2017,21229400,3099500,18129900,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3610,303,303-14-000007,WO-000003,25/01/2017,28675800,4186675,24489125,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3611,303,303-14-000007,WO-000003,25/01/2017,30573200,4463700,26109500,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3612,303,303-14-000007,WO-000003,25/01/2017,684021,68402,615619,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3613,303,303-14-000007,WO-000003,25/01/2017,31002800,4884386,26118414,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3614,303,303-14-000007,WO-000003,25/01/2017,30322600,4427255,25895345,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3615,303,303-14-000007,WO-000003,25/01/2017,29356000,4285980,25070020,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3616,303,303-14-000007,WO-000003,25/01/2017,684021,68405,615616,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3617,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3618,303,303-14-000007,WO-000003,25/01/2017,145215,10812,134403,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s.S.N.Agencies
3619,303,303-14-000007,WO-000003,25/01/2017,21551600,3196540,18355060,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3620,303,303-14-000007,WO-000003,25/01/2017,22697200,3363791,19333409,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3621,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3622,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3623,303,303-14-000007,WO-000003,25/01/2017,27780800,3716791,24064009,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3624,303,303-14-000007,WO-000003,25/01/2017,684020,68402,615618,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3625,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3626,303,303-14-000007,WO-000003,25/01/2017,53843200,6919414,46923786,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3627,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3628,303,303-14-000007,WO-000003,25/01/2017,655500,65550,589950,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3629,303,303-14-000007,WO-000003,25/01/2017,171005,17100,153905,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3630,303,303-14-000007,WO-000003,25/01/2017,21229400,3099500,18129900,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3631,303,303-14-000007,WO-000003,25/01/2017,28675800,4186675,24489125,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3632,303,303-14-000007,WO-000003,25/01/2017,30573200,4463700,26109500,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3633,303,303-14-000007,WO-000003,25/01/2017,684021,68402,615619,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3634,303,303-14-000007,WO-000003,25/01/2017,31002800,4884386,26118414,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3635,303,303-14-000007,WO-000003,25/01/2017,30322600,4427255,25895345,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3636,303,303-14-000007,WO-000003,25/01/2017,29356000,4285980,25070020,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3637,303,303-14-000007,WO-000003,25/01/2017,684021,68405,615616,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3638,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3639,303,303-14-000007,WO-000003,25/01/2017,145215,10812,134403,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s.S.N.Agencies
3640,303,303-14-000007,WO-000003,25/01/2017,21551600,3196540,18355060,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3641,303,303-14-000007,WO-000003,25/01/2017,22697200,3363791,19333409,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3642,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3643,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3644,303,303-14-000007,WO-000003,25/01/2017,27780800,3716791,24064009,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3645,303,303-14-000007,WO-000003,25/01/2017,684020,68402,615618,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3646,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3647,303,303-14-000007,WO-000003,25/01/2017,53843200,6919414,46923786,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3648,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3649,303,303-14-000007,WO-000003,25/01/2017,655500,65550,589950,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3650,303,303-14-000007,WO-000003,25/01/2017,171005,17100,153905,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3651,303,303-14-000007,WO-000003,25/01/2017,21229400,3099500,18129900,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3652,303,303-14-000007,WO-000003,25/01/2017,28675800,4186675,24489125,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3653,303,303-14-000007,WO-000003,25/01/2017,30573200,4463700,26109500,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3654,303,303-14-000007,WO-000003,25/01/2017,684021,68402,615619,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3655,303,303-14-000007,WO-000003,25/01/2017,31002800,4884386,26118414,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3656,303,303-14-000007,WO-000003,25/01/2017,30322600,4427255,25895345,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3657,303,303-14-000007,WO-000003,25/01/2017,29356000,4285980,25070020,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3658,303,303-14-000007,WO-000003,25/01/2017,684021,68405,615616,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3659,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3660,303,303-14-000007,WO-000003,25/01/2017,145215,10812,134403,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s.S.N.Agencies
3661,303,303-14-000007,WO-000003,25/01/2017,21551600,3196540,18355060,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3662,303,303-14-000007,WO-000003,25/01/2017,22697200,3363791,19333409,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3663,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3664,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3665,303,303-14-000007,WO-000003,25/01/2017,27780800,3716791,24064009,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3666,303,303-14-000007,WO-000003,25/01/2017,684020,68402,615618,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3667,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3668,303,303-14-000007,WO-000003,25/01/2017,53843200,6919414,46923786,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3669,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3670,303,303-14-000007,WO-000003,25/01/2017,655500,65550,589950,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3671,303,303-14-000007,WO-000003,25/01/2017,171005,17100,153905,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3672,303,303-14-000007,WO-000003,25/01/2017,21229400,3099500,18129900,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3673,303,303-14-000007,WO-000003,25/01/2017,28675800,4186675,24489125,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3674,303,303-14-000007,WO-000003,25/01/2017,30573200,4463700,26109500,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3675,303,303-14-000007,WO-000003,25/01/2017,684021,68402,615619,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3676,303,303-14-000007,WO-000003,25/01/2017,31002800,4884386,26118414,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3677,303,303-14-000007,WO-000003,25/01/2017,30322600,4427255,25895345,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3678,303,303-14-000007,WO-000003,25/01/2017,29356000,4285980,25070020,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3679,303,303-14-000007,WO-000003,25/01/2017,684021,68405,615616,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3680,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3681,303,303-14-000007,WO-000003,25/01/2017,145215,10812,134403,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s.S.N.Agencies
3682,303,303-14-000007,WO-000003,25/01/2017,21551600,3196540,18355060,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3683,303,303-14-000007,WO-000003,25/01/2017,22697200,3363791,19333409,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3684,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3685,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3686,303,303-14-000007,WO-000003,25/01/2017,27780800,3716791,24064009,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3687,303,303-14-000007,WO-000003,25/01/2017,684020,68402,615618,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3688,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3689,303,303-14-000007,WO-000003,25/01/2017,53843200,6919414,46923786,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3690,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3691,303,303-14-000007,WO-000003,25/01/2017,655500,65550,589950,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3692,303,303-14-000007,WO-000003,25/01/2017,171005,17100,153905,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3693,303,303-14-000007,WO-000003,25/01/2017,21229400,3099500,18129900,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3694,303,303-14-000007,WO-000003,25/01/2017,28675800,4186675,24489125,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3695,303,303-14-000007,WO-000003,25/01/2017,30573200,4463700,26109500,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3696,303,303-14-000007,WO-000003,25/01/2017,684021,68402,615619,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3697,303,303-14-000007,WO-000003,25/01/2017,31002800,4884386,26118414,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3698,303,303-14-000007,WO-000003,25/01/2017,30322600,4427255,25895345,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3699,303,303-14-000007,WO-000003,25/01/2017,29356000,4285980,25070020,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3700,303,303-14-000007,WO-000003,25/01/2017,684021,68405,615616,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3701,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3702,303,303-14-000007,WO-000003,25/01/2017,145215,10812,134403,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s.S.N.Agencies
3703,303,303-14-000007,WO-000003,25/01/2017,21551600,3196540,18355060,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3704,303,303-14-000007,WO-000003,25/01/2017,22697200,3363791,19333409,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3705,303,303-14-000007,WO-000003,25/01/2017,652650,65265,587385,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3706,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
3707,303,303-14-000007,WO-000003,25/01/2017,27780800,3716791,24064009,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3708,303,303-14-000007,WO-000003,25/01/2017,684020,68402,615618,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3709,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3710,303,303-14-000007,WO-000003,25/01/2017,53843200,6919414,46923786,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3711,303,303-14-000007,WO-000003,25/01/2017,983250,98325,884925,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3712,303,303-14-000007,WO-000003,25/01/2017,655500,65550,589950,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3713,303,303-14-000007,WO-000003,25/01/2017,171005,17100,153905,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
3714,303,303-14-000007,WO-000003,25/01/2017,21229400,3099500,18129900,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
3715,303,303-14-000007,WO-000003,25/01/2017,28675800,4186675,24489125,Providing Project management consultancy services for the work of Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
