Sl No.,BBMP Code,Job Number,Work Order Number,Work Order Date,Total Amount in Rs,Deduction in Rs,Net Payment in Rs ,Work Order Details,Contractor
56,303,303-14-000007,WO-000004,06/02/2016,983250,98325,884925,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
57,303,303-14-000007,WO-000004,06/02/2016,27780800,3716791,24064009,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
58,303,303-14-000007,WO-000004,06/02/2016,684020,68402,615618,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
59,303,303-14-000007,WO-000004,06/02/2016,983250,98325,884925,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
60,303,303-14-000007,WO-000004,06/02/2016,53843200,6919414,46923786,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
61,303,303-14-000007,WO-000004,06/02/2016,983250,98325,884925,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
62,303,303-14-000007,WO-000004,06/02/2016,655500,65550,589950,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
63,303,303-14-000007,WO-000004,06/02/2016,171005,17100,153905,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
64,303,303-14-000007,WO-000004,06/02/2016,21229400,3099500,18129900,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
65,303,303-14-000007,WO-000004,06/02/2016,28675800,4186675,24489125,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
66,303,303-14-000007,WO-000004,06/02/2016,30573200,4463700,26109500,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
67,303,303-14-000007,WO-000004,06/02/2016,684021,68402,615619,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
68,303,303-14-000007,WO-000004,06/02/2016,31002800,4884386,26118414,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
69,303,303-14-000007,WO-000004,06/02/2016,30322600,4427255,25895345,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
70,303,303-14-000007,WO-000004,06/02/2016,29356000,4285980,25070020,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
71,303,303-14-000007,WO-000004,06/02/2016,684021,68405,615616,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
72,303,303-14-000007,WO-000004,06/02/2016,652650,65265,587385,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
73,303,303-14-000007,WO-000004,06/02/2016,145215,10812,134403,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s.S.N.Agencies
74,303,303-14-000007,WO-000004,06/02/2016,21551600,3196540,18355060,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
75,303,303-14-000007,WO-000004,06/02/2016,22697200,3363791,19333409,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
76,303,303-14-000007,WO-000004,06/02/2016,652650,65265,587385,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
77,303,303-14-000007,WO-000004,06/02/2016,983250,98325,884925,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/s Shrikhande consultants Pvt.Ltd.
78,303,303-14-000007,WO-000004,06/02/2016,27780800,3716791,24064009,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,M/S M V R INFRAPROJECTS PVT LTD
79,303,303-14-000007,WO-000004,06/02/2016,684020,68402,615618,Project Management Consultancy for Construction of four lane divided bi directional flyover along outer ring road at Kittur Rani Chennamma Circle Bangalore.,"M/s Shrikhande consultants Pvt.Ltd.,"
